date_utc,dex_volume_usd,defi_dollar_collateral_usd,liquidations_usd
2025-01-02,12834668880,66149542446,342612.0417761705
2025-01-03,11527086416,67583749383,1298440.0672878919
2025-01-04,9576456606,70220419238,15130.032276513608
2025-01-05,9542666085,71089644962,2113142.6035752133
2025-01-06,12968445713,71073600689,66074.15200425287
2025-01-07,14219263976,71747808466,1321988.6120834646
2025-01-08,14245869631,66575234838,5223281.67171311
2025-01-09,14041795198,65685390004,695529.5778012783
2025-01-10,12822429039,64101791654,234879.63898327496
2025-01-11,7791467855,65216390085,902988.556630249
2025-01-12,8142792644,65777292637,978565.0974485655
2025-01-13,14694152229,65234131345,1102839.4224083032
2025-01-14,11240383492,63689918452,189481.21670757222
2025-01-15,12562359705,65706446574,2289794.171060438
2025-01-16,13068829902,69228072764,970196.2971155115
2025-01-17,26641414041,67089197809,44546.32180109639
2025-01-18,48449819925,69656752436,1152143.0254441162
2025-01-19,44797521131,66842417114,218260.55087560703
2025-01-20,43909579366,65366176771,27721.495882084317
2025-01-21,26032035440,66142937959,800628.3325856989
2025-01-22,22801565815,67190616892,1678325.2818847827
2025-01-23,25099065098,65970915110,1965692.5752936346
2025-01-24,19796365176,67206494580,109280.32714539093
2025-01-25,15333187105,67022427120,1087799.3171750328
2025-01-26,16478529093,67506712060,1238133.7843328922
2025-01-27,20715976672,66395509675,348872.5959616556
2025-01-28,14928762836,64102989620,3553090.565518375
