address,flow_symmetry,in_degree,inflow_usd,n_transfers,out_degree,outflow_usd,total_volume_usd
0xe74bdc98cdeabcccbc16e9c3c1b0ace55cb2f777,0.9999999999999998,39,2420795202.9773564,174,57,2420795202.977356,4841590405.954712
0xe69022e830428f5a52f1d154e09a57a4ed2995fe,0.9999999999999994,27,2402915445.015476,16073,1,2402915445.0154777,4805830890.030954
0x62bef302b613a02f5960ba64922dce26eaa1d801,0.9999999999999998,2,2397352760.2000003,2254,1,2397352760.2,4794705520.4
0xed89da9dd83a0d703991ee833969489278b260e7,0.9999999999999992,7,2387043493.430102,5932,1,2387043493.4301,4774086986.860202
0x32d03f46ba2857c8e6a920ab3fed1f24d35d85d1,0.9999999999999996,1,2379724862.644861,1755,1,2379724862.644862,4759449725.289723
0xdce19b17645220d0857c47f3e7191c70058c6178,0.9999999999999994,15,2373621676.2727017,804,2,2373621676.2727003,4747243352.545403
0x8e712469e6cb10f6a9008fdcf2ab46c3ccc08232,0.9948835061763229,6,2318303342.6951184,1133,8,2330225929.2700005,4648529271.965118
0x742d35cc6634c0532925a3b844bc454e4438f44e,0.9968644640031032,7,2284020608.511437,179,3,2291204763.523727,4575225372.035164
0xd91efec7e42f80156d1d9f660a69847188950747,0.9987429937514379,12370,2272640739.0316043,186406,90689,2275501058.0802207,4548141797.111825
0xb02f39e382c90160eb816de5e0e428ac771d77b5,0.9974558633412339,3689,2271879077.372875,116198,4316,2266099106.5278473,4537978183.9007225
0xc7128596e0cbfe72776eedbd306237baf34db9e6,0.9999999999102593,13,2246560420.5706124,123,17,2246560420.77222,4493120841.342833
0x189736e4ef463f00ad33840fba682f810933754a,1.0,2,2245577000.0,30,1,2245577000.0,4491154000.0
0x80787af194c33b74a811f5e5c549316269d7ee1a,0.991941186992629,18130,2233619487.672821,38166,4,2215619165.892046,4449238653.564867
0xffe15ff598e719d29dfe5e1d60be1a5521a779ae,0.999964019245917,1269,2218343732.619794,12616,661,2218423553.1721125,4436767285.791906
0x31373595f40ea48a7aab6cbcb0d377c6066e2dca,0.999061056086707,524,2203320283.3059173,41826,305,2201251489.1368723,4404571772.442789
0xe71cab44917bf40b072b47138a76006558cb29c6,0.9999999999999998,18,2200242012.079356,11566,1,2200242012.0793557,4400484024.158712
0xa3222357a0eccf60c73606170be6c99adecb59b3,0.9998393447507876,9,2199956851.725477,200345,87886,2199603417.1092067,4399560268.834684
0x43fed72b921af413aad831cebd221697b18da54f,0.9972691594085249,6,2195385783.488543,2504,2,2201397449.0002427,4396783232.488786
0x28ac01d4790ed04b378ca32c90e443b3cb6358cd,0.999958306082724,5,2156375917.684509,4835,4,2156286009.9253807,4312661927.60989
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0.9870764594217003,37286,2141229593.6805625,386714,12355,2169264167.170036,4310493760.850598
